order_id,order_date,customer_id,product_id,quantity,unit_price,total_amount,currency
12001,2024-01-06,1371,2091,6,262.44,1574.64,EUR
12002,2023-11-29,1361,2079,8,126.59,1012.72,EUR
12003,2023-02-22,1986,2021,6,335.72,2014.32,GBP
12004,2023-03-28,1732,2016,7,143.15,1002.05,EUR
12005,2024-03-10,1857,2033,6,77.23,463.38,EUR
12006,2024-02-20,1776,2045,8,183.2,1465.6,EUR
12007,2024-02-10,1475,2029,7,418.27,2927.89,EUR
12008,2023-04-25,1789,2008,8,211.05,1688.4,EUR
12009,2024-01-08,1639,2049,6,481.92,2891.52,USD
12010,2023-02-14,1739,2040,1,23.41,23.41,EUR
12011,2023-04-16,1300,2030,9,14.08,126.72,EUR
12012,2023-12-31,1231,2081,3,448.66,1345.98,USD
12013,2024-03-26,1180,2028,7,100.08,700.56,EUR
12014,2024-04-23,1288,2088,6,112.15,672.9,EUR
12015,2024-12-17,1977,2001,6,392.02,2352.12,GBP
12016,2024-09-15,1941,2051,5,94.48,472.4,EUR
12017,2023-10-05,1146,2094,5,309.08,1545.4,EUR
12018,2024-07-25,1553,2028,2,27.14,54.28,USD
12019,2023-03-11,1939,2064,3,438.57,1315.71,EUR
12020,2024-09-17,1753,2072,1,287.54,287.54,EUR
12021,2023-10-10,1611,2033,9,227.27,2045.43,EUR
12022,2024-07-08,1598,2063,9,184.7,1662.3,EUR
12023,2024-12-09,1325,2064,1,159.73,159.73,EUR
12024,2024-05-28,1923,2046,8,135.74,1085.92,EUR
12025,2024-11-02,1083,2037,7,487.71,3413.97,EUR
12026,2023-01-08,1867,2047,3,156.04,468.12,GBP
12027,2023-05-05,1870,2014,2,122.64,245.28,GBP
12028,2024-04-02,1261,2048,6,231.64,1389.84,EUR
12029,2024-01-30,1511,2032,1,132.42,132.42,USD
12030,2023-03-29,1883,2033,2,139.41,278.82,EUR
12031,2024-06-08,1473,2024,1,136.36,136.36,EUR
12032,2023-02-12,1299,2051,2,73.23,146.46,USD
12033,2024-12-24,1069,2000,1,444.01,444.01,USD
12034,2023-04-25,1440,2005,4,96.17,384.68,USD
12035,2023-11-22,1277,2020,8,15.84,126.72,EUR
12036,2024-08-24,1850,2056,3,389.91,1169.73,EUR
12037,2024-01-11,1860,2025,3,228.52,685.56,EUR
12038,2024-06-27,1323,2049,9,180.31,1622.79,EUR
12039,2024-05-28,1210,2014,5,268.85,1344.25,USD
12040,2024-11-23,1290,2041,1,280.59,280.59,USD
12041,2023-12-05,1401,2044,6,195.52,1173.12,EUR
12042,2024-12-15,1667,2032,5,426.49,2132.45,EUR
12043,2024-01-13,1152,2004,4,422.18,1688.72,EUR
12044,2024-10-14,1998,2061,8,185.85,1486.8,EUR
12045,2024-06-18,1699,2020,7,114.94,804.58,EUR
12046,2023-04-08,1130,2048,1,245.8,245.8,USD
12047,2024-04-14,1314,2070,4,82.32,329.28,EUR
12048,2024-10-03,1700,2009,5,144.75,723.75,EUR
12049,2023-04-04,1503,2067,6,194.66,1167.96,EUR
12050,2024-09-04,1526,2037,4,194.5,778.0,EUR
12051,2023-03-18,1041,2049,5,93.81,469.05,EUR
12052,2024-09-27,1410,2007,2,257.2,514.4,EUR
12053,2024-07-29,1613,2049,6,308.84,1853.04,EUR
12054,2023-04-21,1749,2037,3,307.78,923.34,USD
12055,2024-06-14,1446,2017,5,402.12,2010.6,GBP
12056,2023-03-27,1554,2052,8,43.2,345.6,EUR
12057,2024-02-19,1221,2064,9,82.66,743.94,EUR
12058,2024-11-05,1797,2038,5,221.3,1106.5,EUR
12059,2023-05-31,1697,2062,2,243.99,487.98,EUR
12060,2023-05-07,1743,2033,1,106.71,106.71,EUR
12061,2023-11-05,1667,2082,8,153.18,1225.44,USD
12062,2023-09-27,1984,2027,4,83.9,335.6,EUR
12063,2023-02-05,1878,2079,2,273.65,547.3,USD
12064,2023-11-29,1810,2037,8,241.2,1929.6,EUR
12065,2023-07-09,1334,2055,5,345.53,1727.65,USD
12066,2023-04-01,1066,2006,7,317.1,2219.7,EUR
12067,2023-07-21,1000,2007,1,139.09,139.09,EUR
12068,2023-01-16,1778,2098,9,381.31,3431.79,EUR
12069,2024-10-29,1898,2000,3,80.15,240.45,EUR
12070,2024-12-26,1649,2054,7,317.04,2219.28,EUR
12071,2023-09-26,1720,2045,3,311.93,935.79,GBP
12072,2024-10-01,1089,2062,2,121.53,243.06,USD
12073,2023-12-03,1564,2000,4,101.71,406.84,GBP
12074,2024-10-28,1604,2018,1,57.84,57.84,USD
12075,2023-05-07,1156,2033,5,312.08,1560.4,EUR
12076,2023-07-27,1750,2091,5,185.17,925.85,EUR
12077,2024-06-24,1334,2034,1,499.36,499.36,EUR
12078,2023-06-10,1196,2056,5,319.3,1596.5,USD
12079,2024-08-24,1695,2056,6,9.9,59.4,EUR
12080,2023-11-07,1434,2041,5,190.04,950.2,EUR
12081,2023-10-22,1535,2082,1,12.03,12.03,EUR
12082,2023-11-27,1541,2070,7,315.14,2205.98,EUR
12083,2024-08-05,1622,2043,3,459.22,1377.66,EUR
12084,2023-01-05,1412,2030,3,373.74,1121.22,USD
12085,2024-07-02,1813,2027,8,136.34,1090.72,EUR
